VEC_X;VEC_Y;TILE_M;TILE_N;TILE_K;ms
4;3;32;32;52;17.7531
4;4;2;16;52;94.559
4;4;2;32;52;90.5574
4;4;4;8;52;47.9343
4;4;4;16;52;38.2175
4;4;4;32;52;31.9695
4;4;8;8;52;26.9864
4;4;8;16;52;20.5213
4;4;8;32;52;20.2058
4;4;16;16;52;15.6468
4;4;16;32;52;15.7229
4;4;32;32;52;16.452
2;2;2;16;64;198.319
2;2;2;32;64;185.32
2;2;4;8;64;102.022
2;2;4;16;64;69.0573
2;2;4;32;64;57.9967
2;2;8;8;64;49.2745
2;2;8;16;64;33.786
2;2;8;32;64;37.2927
2;2;16;16;64;27.9982
2;2;16;32;64;23.2448
2;2;32;32;64;28.4429
3;2;2;16;64;197.962
3;2;2;32;64;217.086
3;2;4;8;64;92.3714
3;2;4;16;64;73.324
3;2;4;32;64;69.4521
3;2;8;8;64;45.4821
3;2;8;16;64;42.6609
3;2;8;32;64;40.1836
3;2;16;16;64;33.5414
3;2;16;32;64;31.2812
3;2;32;32;64;34.2514
4;2;2;16;64;215.381
4;2;2;32;64;256.171
4;2;4;8;64;85.2268
4;2;4;16;64;66.9599
4;2;4;32;64;78.2097
4;2;8;8;64;44.4649
4;2;8;16;64;31.796
4;2;8;32;64;32.1705
4;2;16;16;64;20.122
4;2;16;32;64;20.8771
4;2;32;32;64;22.5251
3;3;2;16;64;157.155
3;3;2;32;64;146.701
3;3;4;8;64;70.4088
3;3;4;16;64;51.5329
3;3;4;32;64;47.3819
3;3;8;8;64;39.4684
3;3;8;16;64;28.601
3;3;8;32;64;28.4612
3;3;16;16;64;23.1772
3;3;16;32;64;23.8701
3;3;32;32;64;25.1218
4;3;2;16;64;143.81
4;3;2;32;64;173.381
4;3;4;8;64;68.1233
4;3;4;16;64;46.5588
4;3;4;32;64;54.5025
4;3;8;8;64;38.0024
4;3;8;16;64;21.543
4;3;8;32;64;23.1462
4;3;16;16;64;16.638
4;3;16;32;64;15.6987
4;3;32;32;64;17.02
4;4;2;16;64;110.227
4;4;2;32;64;131.428
4;4;4;8;64;59.3383
4;4;4;16;64;46.3708
4;4;4;32;64;42.191
4;4;8;8;64;32.458
4;4;8;16;64;19.2367
4;4;8;32;64;19.7314
4;4;16;16;64;14.5497
4;4;16;32;64;15.8851
8;4;2;16;4;47.774
8;4;2;32;4;48.1208
8;4;4;8;4;31.3938
8;4;4;16;4;30.5481
8;4;4;32;4;31.7473
8;4;8;8;4;23.8567
8;4;8;16;4;21.2069
8;4;8;32;4;24.5479
8;4;16;16;4;21.1281
8;4;16;32;4;25.6115
8;4;32;32;4;28.0217
4;8;2;16;4;30.8213
4;8;2;32;4;23.2813
4;8;4;8;4;23.7671
4;8;4;16;4;20.0842
4;8;4;32;4;17.2504
